1	1.62	0.01
0.5	0.81	0.01
0.3333	0.54	0.02
0.25	0.40	0.03
0.2	0.32	0.05
0.1667	0.27	0.06
0.1428571429	0.23	0.08
0.125	0.21	0.09

