28.5    4 0.3 0.5
33.5    8.5   0.3  0.5
38.5    12.8    0.3 0.5
43.5    16.5    0.3 0.5
48.5    21.2    0.3 0.5
53.5    24.9    0.3 0.5
58.5    29.2    0.3 0.5
63.5    33.2    0.3 0.5
68.5    37    0.3 0.5
73.5    41.8    0.3 0.5
78.5    46.1    0.3 0.5
