28.5    7.8 0.3 0.5
33.5    15.5   0.3  0.5
38.5    24.7    0.3 0.5
43.5    33.7    0.3 0.5
48.5    39.9    0.3 0.5
53.5    49.8    0.3 0.5
58.5    53.1    0.3 0.5
63.5    57.3    0.3 0.5
68.5    66.1    0.3 0.5
73.5    72.3    0.3 0.5
78.5    77.6    0.3 0.5
